CMDLINE /usr/bin/python3 thread_data.py
MEM 170.617188 1667751436.5949
MEM 170.617188 1667751436.6954
MEM 170.875000 1667751436.7958
MEM 170.875000 1667751436.8966
MEM 171.132812 1667751436.9971
MEM 171.132812 1667751437.0977
MEM 171.390625 1667751437.1982
MEM 171.648438 1667751437.2987
MEM 171.648438 1667751437.3992
MEM 171.906250 1667751437.4997
MEM 171.906250 1667751437.6002
MEM 172.164062 1667751437.7007
MEM 172.421875 1667751437.8013
MEM 172.421875 1667751437.9018
MEM 172.679688 1667751438.0023
MEM 172.679688 1667751438.1032
MEM 172.937500 1667751438.2038
MEM 172.937500 1667751438.3043
MEM 173.195312 1667751438.4049
MEM 173.453125 1667751438.5054
MEM 173.453125 1667751438.6059
MEM 173.710938 1667751438.7065
MEM 173.710938 1667751438.8070
MEM 173.968750 1667751438.9075
MEM 174.226562 1667751439.0080
MEM 174.226562 1667751439.1085
MEM 174.484375 1667751439.2090
MEM 174.484375 1667751439.3095
MEM 174.742188 1667751439.4100
MEM 175.000000 1667751439.5106
MEM 175.000000 1667751439.6111
MEM 175.257812 1667751439.7116
MEM 175.257812 1667751439.8121
MEM 175.515625 1667751439.9126
MEM 175.515625 1667751440.0131
MEM 175.773438 1667751440.1136
MEM 176.031250 1667751440.2141
MEM 176.031250 1667751440.3146
MEM 176.289062 1667751440.4151
MEM 176.289062 1667751440.5156
MEM 176.546875 1667751440.6161
MEM 176.804688 1667751440.7166
MEM 176.804688 1667751440.8171
MEM 177.062500 1667751440.9176
MEM 177.062500 1667751441.0181
MEM 177.320312 1667751441.1186
MEM 177.320312 1667751441.2191
MEM 177.578125 1667751441.3198
MEM 177.835938 1667751441.4203
MEM 177.835938 1667751441.5210
MEM 178.093750 1667751441.6216
MEM 178.093750 1667751441.7222
MEM 178.351562 1667751441.8230
MEM 178.351562 1667751441.9236
MEM 178.609375 1667751442.0243
MEM 178.867188 1667751442.1248
MEM 178.867188 1667751442.2254
MEM 179.125000 1667751442.3259
MEM 179.125000 1667751442.4264
MEM 179.382812 1667751442.5270
MEM 179.640625 1667751442.6275
MEM 179.640625 1667751442.7280
MEM 179.898438 1667751442.8286
MEM 179.898438 1667751442.9291
